"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-01","0.0","0.0","51.0","-16.1","-21.7","-20.6",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-02","0.0","0.0","51.0","-13.9","-23.3","-13.9",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-03","0.0","5.0","51.0","-7.8","-13.9","-13.3",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-04","0.0","0.0","51.0","-10.6","-16.7","-16.1",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-05","0.0","0.0","51.0","-11.1","-17.8","-16.1",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-06","0.0","0.0","51.0","-8.3","-18.3","-13.3",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-07","1.3","10.0","25.0","0.6","-13.3","0.6",,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-08","0.0","0.0","25.0","2.8","-1.1","-1.1",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-09","0.0","0.0","25.0","1.1","-2.2","-0.6",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-10","0.5","0.0","0.0","13.3","-0.6","13.3",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-11","4.1","0.0","0.0","15.6","-5.0","-5.0",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-12","0.0","0.0","0.0","-4.4","-8.9","-8.9",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-13","0.0","0.0","0.0","-7.8","-13.3","-12.2",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-14","1.5","20.0","25.0","-5.6","-13.9","-7.2",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-15","3.0","69.0","76.0","-4.4","-12.8","-12.8",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-16","0.3","10.0","76.0","-3.9","-14.4","-10.0",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-17","0.0","0.0","51.0","-6.1","-15.0","-7.2",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-18","0.0","0.0","51.0","0.6","-8.3","-2.2",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-19","0.0","0.0","0.0","4.4","-2.2","4.4",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-20","0.0","0.0","0.0","8.3","0.6","5.0",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-21","0.3","0.0","0.0","8.9","3.9","8.9",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-22","15.5","0.0","0.0","12.8","2.8","2.8",,"    1","    1",,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-23","1.8","10.0","0.0","3.3","-1.7","-1.7",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-24","0.3","3.0","0.0","-0.6","-2.8","-2.8",,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-25","0.0","0.0","0.0","6.7","-3.3","3.3",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-26","0.0","0.0","0.0","11.1","2.8","10.0",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-27","0.0","0.0","0.0","10.6","2.8","2.8",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-28","0.0","0.0","0.0","5.6","-1.1","0.0",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-29","0.0","0.0","0.0","0.0","-7.8","-7.8",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-30","0.0","0.0","0.0","-0.6","-9.4","-0.6",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-01-31","0.0","0.0","0.0","6.7","-0.6","2.2",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-01","0.0","0.0","0.0","2.2","-12.8","-12.8",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-02","0.0","0.0","0.0","-5.6","-15.0","-5.6",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-03","0.8","20.0","25.0","5.6","-5.6","0.6",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-04","3.0","56.0","76.0","1.7","-13.9","-13.9",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-05","5.1","64.0","102.0","-11.1","-18.3","-11.1",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-06","0.5","8.0","76.0","-5.6","-14.4","-7.2",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-07","2.0","28.0","102.0","-6.1","-11.1","-11.1",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-08","3.0","38.0","127.0","-5.6","-12.8","-5.6",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-09","16.3","185.0","305.0","-1.7","-5.6","-5.6",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-10","1.0","20.0","254.0","-3.3","-8.3","-4.4",,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-11","6.9","89.0","356.0","-4.4","-10.6","-10.6","22.9","    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-12","0.0","0.0","330.0","-1.7","-15.6","-6.1",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-13","0.0","0.0","305.0","2.2","-8.3","-1.1",,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2018-02-14","0.0","0.0","152.0","7.8","-2.2","5.0",,"    1",,,,,
